wl,sci,sce
380,0.00000000,15.80000000
385,0.00000000,19.77000000
390,0.00000000,24.08000000
395,0.00000000,27.76000000
400,0.00000000,30.46000000
405,0.00000000,32.12000000
410,0.00000000,32.96000000
415,0.00000000,34.03000000
420,0.00000000,35.34000000
425,0.00000000,36.50000000
430,0.00000000,37.34000000
435,0.00000000,38.06000000
440,0.00000000,38.23000000
445,0.00000000,38.13000000
450,0.00000000,37.38000000
455,0.00000000,36.05000000
460,0.00000000,34.20000000
465,0.00000000,32.06000000
470,0.00000000,29.64000000
475,0.00000000,27.06000000
480,0.00000000,24.48000000
485,0.00000000,22.07000000
490,0.00000000,19.96000000
495,0.00000000,18.11000000
500,0.00000000,16.41000000
505,0.00000000,14.90000000
510,0.00000000,13.65000000
515,0.00000000,12.73000000
520,0.00000000,12.05000000
525,0.00000000,11.45000000
530,0.00000000,10.95000000
535,0.00000000,10.46000000
540,0.00000000,9.92000000
545,0.00000000,9.34000000
550,0.00000000,8.76000000
555,0.00000000,8.32000000
560,0.00000000,8.05000000
565,0.00000000,7.95000000
570,0.00000000,7.93000000
575,0.00000000,7.99000000
580,0.00000000,8.06000000
585,0.00000000,8.10000000
590,0.00000000,8.03000000
595,0.00000000,7.93000000
600,0.00000000,7.86000000
605,0.00000000,7.82000000
610,0.00000000,7.86000000
615,0.00000000,7.99000000
620,0.00000000,8.23000000
625,0.00000000,8.62000000
630,0.00000000,9.07000000
635,0.00000000,9.60000000
640,0.00000000,10.13000000
645,0.00000000,10.66000000
650,0.00000000,11.06000000
655,0.00000000,11.31000000
660,0.00000000,11.28000000
665,0.00000000,11.06000000
670,0.00000000,10.78000000
675,0.00000000,10.47000000
680,0.00000000,10.24000000
685,0.00000000,10.17000000
690,0.00000000,10.26000000
695,0.00000000,10.42000000
700,0.00000000,10.62000000
705,0.00000000,11.00000000
710,0.00000000,11.35000000
715,0.00000000,11.80000000
720,0.00000000,12.39000000
725,0.00000000,12.39000000
730,0.00000000,12.39000000
735,0.00000000,12.39000000
740,0.00000000,12.39000000
745,0.00000000,12.39000000
750,0.00000000,12.39000000
755,0.00000000,12.39000000
760,0.00000000,12.39000000
765,0.00000000,12.39000000
770,0.00000000,12.39000000
775,0.00000000,12.39000000
